day,symbol,avg_entity_sentiment,avg_event_sentiment,avg_story_traffic,avg_event_relevance
2013-07-31T00:00:00.000-04,AAPL,-8.2,-10.44,5145356.375,75.6375
2013-08-01T00:00:00.000-04,AAPL,13.969,10.8594,51276385.63,69.5493
2013-08-02T00:00:00.000-04,AAPL,11.3294,11.0876,103218440.4,70.8686
2013-08-03T00:00:00.000-04,AAPL,-21.0098,-20.3934,114514065.6,75.239
2013-08-04T00:00:00.000-04,AAPL,28.3688,29.12,17677196.44,73.2875
2013-08-05T00:00:00.000-04,AAPL,-5.7191,-7.9324,1028491475,72.55
2013-08-06T00:00:00.000-04,AAPL,-8.2522,-8.4403,369033444,77.3362
2013-08-07T00:00:00.000-04,AAPL,6.6016,6.0344,422522365.3,81.3902
2013-08-08T00:00:00.000-04,AAPL,-0.1571,-2.0473,49721896.89,76.1929
2013-08-09T00:00:00.000-04,AAPL,-2.6644,-2.2036,108363009.9,91.2763
2013-08-10T00:00:00.000-04,AAPL,-4.9566,-4.435,61049771.41,77.4133
2013-08-11T00:00:00.000-04,AAPL,21.9895,21.7526,94901814,79.8158
2013-08-12T00:00:00.000-04,AAPL,11.4631,12.1119,31894387.38,77.469
2013-08-13T00:00:00.000-04,AAPL,16.6913,17.0017,344063747.7,75.175
2013-08-14T00:00:00.000-04,AAPL,9.8644,9.9408,146993001.1,69.603
2013-08-15T00:00:00.000-04,AAPL,3.6038,2.5375,60288418.76,76.7425
2013-08-16T00:00:00.000-04,AAPL,8.8434,8.8134,85482158.95,72.1592
2013-08-17T00:00:00.000-04,AAPL,27.2222,25.7333,7793332.889,53.7667
2013-08-18T00:00:00.000-04,AAPL,13.6938,13.7125,251705444.9,90.2875
2013-08-19T00:00:00.000-04,AAPL,28.0716,26.3301,72054861.45,73.7784
2013-08-20T00:00:00.000-04,AAPL,21.8042,22.2739,73217072.83,75.7845
2013-08-21T00:00:00.000-04,AAPL,6.1852,6.6475,1668424878,81.0918
2013-08-22T00:00:00.000-04,AAPL,3.9279,3.7213,127850781.2,75.3059
2013-08-23T00:00:00.000-04,AAPL,19.1467,18.973,976465976.9,60.2744
2013-08-24T00:00:00.000-04,AAPL,-13.5526,-13.2895,244360537.6,75.7316
2013-08-25T00:00:00.000-04,AAPL,3.8154,3.8154,342382501.2,95.6077
2013-08-26T00:00:00.000-04,AAPL,15.1038,14.8758,340708126.1,76.4679
2013-08-27T00:00:00.000-04,AAPL,14.032,14.2154,102587002.1,79.012
2013-08-28T00:00:00.000-04,AAPL,13.3636,12.8551,55399594.67,74.8945
2013-08-29T00:00:00.000-04,AAPL,15.613,15.0037,115902413.7,68.8278
2013-08-30T00:00:00.000-04,AAPL,11.7579,12.2342,334772329.6,77.2404
2013-08-31T00:00:00.000-04,AAPL,33.0357,32.5786,124419882,79.4643
2013-09-01T00:00:00.000-04,AAPL,5.125,4.5488,12549948.63,90.075
2013-09-02T00:00:00.000-04,AAPL,20.5167,19.205,13111156.5,63.2167
2013-09-03T00:00:00.000-04,AAPL,10.8126,11.0225,40697359.38,81.8908
2013-09-04T00:00:00.000-04,AAPL,22.1114,23.2241,42950449.94,75.9273
2013-09-05T00:00:00.000-04,AAPL,16.2477,16.5909,75160412.52,83.9738
2013-09-06T00:00:00.000-04,AAPL,14.7278,15.7615,45099309.74,80.8074
2013-09-07T00:00:00.000-04,AAPL,9.8875,9.8975,32045051.75,75.6125
2013-09-08T00:00:00.000-04,AAPL,-1.76,-1.775,337015244.4,86.15
